Country,Region,Level of transmission,Week,"''"
Belgium,Prov. Antwerpen,Not reported,2020-W11,-
Belgium,Prov. Antwerpen,Not reported,2020-W12,-
Belgium,Prov. Antwerpen,Not reported,2020-W13,-
Belgium,Prov. Antwerpen,Not reported,2020-W14,-
Belgium,Prov. Antwerpen,Not reported,2020-W15,-
Belgium,Prov. Antwerpen,Not reported,2020-W16,-
Belgium,Prov. Antwerpen,Not reported,2020-W17,-
Belgium,Prov. Antwerpen,Not reported,2020-W18,-
Belgium,Prov. Antwerpen,Not reported,2020-W19,-
Belgium,Prov. Antwerpen,Not reported,2020-W20,-
Belgium,Prov. Antwerpen,Community,2020-W21,-
Belgium,Prov. Antwerpen,Community,2020-W22,-
Belgium,Prov. Antwerpen,Community,2020-W23,-
Belgium,Prov. Antwerpen,Not reported,2020-W24,-
Belgium,Prov. Antwerpen,Community,2020-W25,-
Belgium,Prov. Antwerpen,Community,2020-W26,-
Belgium,Prov. Antwerpen,Community,2020-W27,-
Belgium,Prov. Antwerpen,Community,2020-W28,-
Belgium,Prov. Antwerpen,Community,2020-W29,-
Belgium,Prov. Antwerpen,Community,2020-W30,-
Belgium,Prov. Antwerpen,Community,2020-W31,-
Belgium,Prov. Antwerpen,Community,2020-W32,-
Belgium,Prov. Antwerpen,Community,2020-W33,-
Belgium,Prov. Antwerpen,Not reported,2020-W34,-
Belgium,Prov. Antwerpen,Community,2020-W35,-
Belgium,Prov. Antwerpen,Community,2020-W36,-
Belgium,Prov. Antwerpen,Not reported,2020-W37,-
Belgium,Prov. Antwerpen,Not reported,2020-W38,-
Belgium,Prov. Antwerpen,Not reported,2020-W39,-
Belgium,Prov. Brabant Wallon,Not reported,2020-W01,-
Belgium,Prov. Brabant Wallon,Not reported,2020-W02,-
Belgium,Prov. Brabant Wallon,Not reported,2020-W03,-
Belgium,Prov. Brabant Wallon,Not reported,2020-W04,-
Belgium,Prov. Brabant Wallon,Not reported,2020-W05,-
Belgium,Prov. Brabant Wallon,Not reported,2020-W06,-
Belgium,Prov. Brabant Wallon,Not reported,2020-W07,-
Belgium,Prov. Brabant Wallon,Not reported,2020-W08,-
Belgium,Prov. Brabant Wallon,Not reported,2020-W09,-
Belgium,Prov. Brabant Wallon,Not reported,2020-W10,-
Belgium,Prov. Brabant Wallon,Not reported,2020-W11,-
Belgium,Prov. Brabant Wallon,Not reported,2020-W12,-
Belgium,Prov. Brabant Wallon,Not reported,2020-W13,-
Belgium,Prov. Brabant Wallon,Not reported,2020-W14,-
Belgium,Prov. Brabant Wallon,Not reported,2020-W15,-
Belgium,Prov. Brabant Wallon,Not reported,2020-W16,-
Belgium,Prov. Brabant Wallon,Not reported,2020-W17,-
Belgium,Prov. Brabant Wallon,Not reported,2020-W18,-
Belgium,Prov. Brabant Wallon,Not reported,2020-W19,-
Belgium,Prov. Brabant Wallon,Not reported,2020-W20,-
Belgium,Prov. Brabant Wallon,Community,2020-W21,-
Belgium,Prov. Brabant Wallon,Community,2020-W22,-
Belgium,Prov. Brabant Wallon,Community,2020-W23,-
Belgium,Prov. Brabant Wallon,Not reported,2020-W24,-
Belgium,Prov. Brabant Wallon,Community,2020-W25,-
Belgium,Prov. Brabant Wallon,Community,2020-W26,-
Belgium,Prov. Brabant Wallon,Community,2020-W27,-
Belgium,Prov. Brabant Wallon,Community,2020-W28,-
Belgium,Prov. Brabant Wallon,Community,2020-W29,-
Belgium,Prov. Brabant Wallon,Community,2020-W30,-
Belgium,Prov. Brabant Wallon,Community,2020-W31,-
Belgium,Prov. Brabant Wallon,Community,2020-W32,-
Belgium,Prov. Brabant Wallon,Community,2020-W33,-
Belgium,Prov. Brabant Wallon,Not reported,2020-W34,-
